"state","country","browser","device"
"FL","US","Android Browser","mobile"
"OK","US","IE","mobile"
"MA","US","Chrome",
"MA","US","Chrome",
"WA","US",,
"MA","US","Chrome",
"MA","US","Chrome",
"WA","US",,
"OK","US","IE","mobile"
"OK","US","IE",
"NJ","US","WebKit","tablet"
"MA","US","Chrome",
,"US","Chrome",
"MA","US","Chrome",
,"US",,
"MI","US","Chrome",
"WA","US",,
,"US","Chrome",
"MA","US","Chrome",
"MA","US","Chrome",
"MA","US","Chrome",
"WA","US",,
"IL","US",,
"MA","US","Chrome",
"NW","DE",,
"OH","US","Chrome",
"IL","US",,
"WA","US",,
"MI","US","Chrome",
,"US",,
,"US",,
"WA","US",,
,"FR",,
,"US",,
"MA","US","Chrome",
"WA","US",,
"IDF","FR","Mozilla",
"IDF","FR","Mozilla",
"MA","US","Chrome",
,"US",,
"OH","US","Safari",
"MA","US","Chrome",
,"PR","Mobile Safari","mobile"
"CT","US","Chrome",
"OH","US","Safari",
,"US",,
,"PR","Mobile Safari","mobile"
"FL","US","Android Browser","mobile"
,"US",,
"OH","US","Safari",
"OH","US","Safari",
"WA","US",,
,"US",,
,"US",,
,"PR","Mobile Safari","mobile"
,"US",,
,"US","Chrome",
,"US",,
"MA","US","Chrome",
,"US","Chrome","mobile"
,"PR","Mobile Safari","mobile"
,"US",,
,"US","Chrome",
"IL","US",,
"MA","US","Chrome",
"LA","US",,
"MA","US","Chrome",
"CA","US","Chrome","mobile"
"BJ","CN","Baidu",
"MD","US","Chrome",
"MI","US","Chrome",
"IL","US",,
"IL","US",,
"IL","US",,
"MD","US","Chrome","mobile"
,"US","Android Browser","mobile"
,"FR",,
"UT","US","Chrome",
"BJ","CN",,
"BJ","CN","Baidu",
"MI","US","Chrome","mobile"
"IL","US",,
,"US","IE",
"MA","US","Chrome",
,"US",,
,"US",,
"VA","US",,
"IL","US",,
"IL","US",,
,"US","IE",
,"US",,
,"US","IE",
,"US",,
"IA","US","IE",
"WA","US",,
"MA","US","Chrome",
,"PR","Mobile Safari","mobile"
"PA","US","IE",
,"US","Mozilla",
"WA","US",,
"13","JP",,
"NC","US","Chrome",
,"US","Android Browser","mobile"
,"US",,
"IL","US",,
"MA","US","Chrome",
"PA","US","IE",
"IL","US","Mozilla",
"WA","US",,
,"PR","Mobile Safari","mobile"
"NC","US","Chrome",
"NY","US","Chrome","mobile"
,"US","Android Browser","mobile"
"IL","US","IE",
"MA","US","Chrome",
"PA","US","IE","mobile"
"IL","US",,
"IL","US","IE","mobile"
,"US",,
"NY","US","Chrome","mobile"
"MA","US","Chrome",
"MA","US","Chrome",
,"US","IE",
"IL","US",,
"L","IE",,
"NY","US","Chrome","mobile"
"WA","US",,
"PA","US","IE",
"RI","US","IE",
,"US",,
"PA","US","IE",
"PA","US","IE",
"OR","US","Chrome",
"PA","US","IE","mobile"
"NY","US","Chrome",
"RI","US","IE","mobile"
"IA","US","Mobile Safari","tablet"
"NY","US","Chrome","mobile"
"RI","US","IE",
"MA","US","Chrome",
"FL","US","Mozilla",
"CA","US","IE",
"MA","US","Chrome",
"CA","US","IE",
"MO","US","IE",
,"US",,
"MA","US","Chrome",
"MA","US","Chrome",
,"US",,
"MO","US","IE",
"MA","US","Chrome",
"VA","US",,
"MA","US","Chrome",
"WA","US",,
"MO","US","IE","mobile"
"TN","US","IE",
"MA","US","Chrome",
"NY","US","Mozilla",
"TN","US","IE","mobile"
"FL","US","Mozilla","mobile"
"IL","US",,
"MO","US","IE","mobile"
"TN","US","IE","mobile"
"TN","US","IE","mobile"
,"US",,
"MA","US","Chrome",
,"PR","Mobile Safari","mobile"
"MA","US","Chrome",
"FL","US","Mozilla",
"FL","US","Mozilla",
"IL","US",,
,"NL",,
"MA","US","Chrome",
"IA","US","Mobile Safari","tablet"
"MD","US","Mobile Safari","mobile"
"IA","US","Mobile Safari","tablet"
"MA","US","Chrome",
"NJ","US","IE",
"IL","US",,
"MO","US","IE",
"MO","US","IE",
"BJ","CN","Baidu",
,"US","Android Browser","mobile"
"BJ","CN","Baidu",
"WA","US",,
"OR","US","Chrome",
"IA","US","Mobile Safari","tablet"
"MA","US","Chrome",
"CA","US","Chrome",
"TX","US","Android Browser",
"VA","US","Chrome",
"VA","US","Mozilla",
"NY","US","Mozilla",
,"US",,
"MA","US","Chrome",
,"US","Android Browser","mobile"
"CA","US","Chrome",
,"US","IE",
,"US",,
"OR","US","Chrome","mobile"
"KY","US","IE",
"MA","US","IE",
"OR","US","Chrome","mobile"
"WA","US",,
"VA","US","Mozilla",
"IL","US",,
"MA","US","Chrome",
"IL","US",,
"MA","US","Chrome",
"MA","US","IE","mobile"
"VA","US",,
"VA","US","Mozilla","mobile"
"VA","US","Mozilla","mobile"
"OR","US","Chrome",
"MA","US","Chrome",
"MA","US","IE","mobile"
,"US","Chrome","mobile"
,"US","Chrome","mobile"
"VA","US","Chrome","mobile"
"MA","US","Chrome",
"HI","US","Mobile Safari","tablet"
"VA","US","Mozilla",
"WA","US",,
"VA","US","Mozilla",
"VA","US","Chrome","mobile"
"MA","US","IE","mobile"
"CA","US","Chrome","mobile"
"VA","US",,
"CA","US","Chrome",
"WA","US",,
